,Time,Subsystems,IVBatt,I+5V,IRadio,ISW1_5V,ISW2_5V,ISW3_5V,I7,ICharger,I_E,DA,DB,DC,C,ISW1-5V,ISW2-5V,ISW3-5V
0,26,EPS,"[7.23, -108.1]","[5.0, 63.1]","[3.16, 3200.0]",,,,,"[7.22, -3200.0]","[1.0, 1.0, 1.0, 1.0]","[21.94, 6.99, 1023.0]",[22.5],[22.38],[0.0],"[4.99, 54.9]","[5.0, 20.4]","[5.0, 0.5]"
0,27,EPS,"[7.23, -108.5]","[5.0, 63.7]","[3.16, 3200.0]",,,,,"[7.22, -3200.0]","[1.0, 1.0, 1.0, 1.0]","[21.97, 6.99, 1023.0]",[22.5],[22.38],[0.0],"[4.99, 55.2]","[5.0, 19.4]","[5.0, 0.2]"
0,28,EPS,"[7.23, -107.5]","[5.0, 62.7]","[3.16, 3200.0]",,,,,"[7.22, -3200.0]","[1.0, 1.0, 1.0, 1.0]","[21.91, 6.99, 1023.0]",[22.5],[22.38],[0.0],"[4.99, 54.9]","[5.0, 19.5]","[5.0, 0.4]"
0,29,EPS,"[7.23, -108.6]","[5.0, 63.2]","[3.16, 3200.0]",,,,,"[7.22, -3200.0]","[1.0, 1.0, 1.0, 1.0]","[21.88, 6.99, 1023.0]",[22.5],[22.38],[0.0],"[4.99, 54.8]","[5.0, 19.9]","[5.0, 0.1]"
0,30,EPS,"[7.23, -108.3]","[4.99, 63.4]","[3.16, 3200.0]",,,,,"[7.22, -3200.0]","[1.0, 1.0, 1.0, 1.0]","[21.88, 6.99, 1023.0]",[22.5],[22.38],[0.0],"[4.99, 54.9]","[5.0, 20.3]","[5.01, 0.4]"
0,31,EPS,"[7.23, -108.6]","[5.0, 63.5]","[3.16, 3200.0]",,,,,"[7.22, -3200.0]","[1.0, 1.0, 1.0, 1.0]","[21.84, 6.99, 1023.0]",[22.5],[22.38],[0.0],"[4.99, 55.3]","[5.0, 19.5]","[5.0, 0.3]"
0,32,EPS,"[7.23, -107.8]","[5.0, 63.4]","[3.16, 3200.0]",,,,,"[7.22, -3200.0]","[1.0, 1.0, 1.0, 1.0]","[22.0, 6.99, 1023.0]",[22.5],[22.38],[0.0],"[4.99, 54.9]","[5.0, 20.6]","[5.0, 0.1]"
0,33,EPS,"[7.23, -108.6]","[5.0, 62.7]","[3.16, 3200.0]",,,,,"[7.22, -3200.0]","[1.0, 1.0, 1.0, 1.0]","[21.88, 6.99, 1023.0]",[22.5],[22.38],[0.0],"[4.99, 55.2]","[5.0, 20.3]","[5.0, 0.4]"
0,34,EPS,"[7.23, -108.2]","[5.0, 62.9]","[3.16, 3200.0]",,,,,"[7.22, -3200.0]","[1.0, 1.0, 1.0, 1.0]","[21.91, 6.99, 1023.0]",[22.5],[22.38],[0.0],"[4.99, 55.1]","[5.0, 20.1]","[5.0, 0.3]"
0,35,EPS,"[7.23, -108.7]","[5.0, 62.8]","[3.16, 3200.0]",,,,,"[7.22, -3200.0]","[1.0, 1.0, 1.0, 1.0]","[21.84, 6.99, 1023.0]",[22.5],[22.38],[0.0],"[4.99, 55.3]","[5.0, 20.6]","[5.0, 0.5]"
0,36,EPS,"[7.23, -108.1]","[5.0, 63.4]","[3.16, 3200.0]",,,,,"[7.22, -3200.0]","[1.0, 1.0, 1.0, 1.0]","[21.88, 6.99, 1023.0]",[22.56],[22.38],[0.0],"[4.99, 54.9]","[5.0, 20.3]","[5.01, 0.4]"
0,37,EPS,"[7.25, -71.8]","[4.99, 87.9]","[0.47, 3200.0]",,,,,"[7.25, -3200.0]","[0.0, 0.0, 0.0, 0.0]","[21.94, 7.01, 1023.0]",[22.56],[22.44],[0.0],"[2.01, 0.5]","[1.1, 0.8]","[1.04, 0.4]"
